cow_age,cow_breed,cow_sex,weight_mature,weight_current,weight_gain
1,barrosa,male-castrated,701.0,28.0,0.512396694214876
2,barrosa,male-castrated,701.0,28.512396694214875,0.512396694214876
3,barrosa,male-castrated,701.0,29.024793388429753,0.512396694214876
4,barrosa,male-castrated,701.0,29.537190082644628,0.512396694214876
5,barrosa,male-castrated,701.0,30.049586776859503,0.512396694214876
6,barrosa,male-castrated,701.0,30.56198347107438,0.512396694214876
7,barrosa,male-castrated,701.0,31.074380165289256,0.512396694214876
8,barrosa,male-castrated,701.0,31.58677685950413,0.512396694214876
9,barrosa,male-castrated,701.0,32.099173553719005,0.512396694214876
10,barrosa,male-castrated,701.0,32.611570247933884,0.512396694214876
11,barrosa,male-castrated,701.0,33.12396694214876,0.512396694214876
12,barrosa,male-castrated,701.0,33.63636363636363,0.512396694214876
13,barrosa,male-castrated,701.0,34.14876033057851,0.512396694214876
14,barrosa,male-castrated,701.0,34.66115702479339,0.512396694214876
15,barrosa,male-castrated,701.0,35.17355371900826,0.512396694214876
16,barrosa,male-castrated,701.0,35.68595041322314,0.512396694214876
17,barrosa,male-castrated,701.0,36.19834710743802,0.512396694214876
18,barrosa,male-castrated,701.0,36.710743801652896,0.512396694214876
19,barrosa,male-castrated,701.0,37.22314049586777,0.512396694214876
20,barrosa,male-castrated,701.0,37.735537190082646,0.512396694214876
21,barrosa,male-castrated,701.0,38.247933884297524,0.512396694214876
22,barrosa,male-castrated,701.0,38.760330578512395,0.512396694214876
23,barrosa,male-castrated,701.0,39.27272727272727,0.512396694214876
24,barrosa,male-castrated,701.0,39.78512396694215,0.512396694214876
25,barrosa,male-castrated,701.0,40.29752066115702,0.512396694214876
26,barrosa,male-castrated,701.0,40.8099173553719,0.512396694214876
27,barrosa,male-castrated,701.0,41.32231404958678,0.512396694214876
28,barrosa,male-castrated,701.0,41.83471074380165,0.512396694214876
29,barrosa,male-castrated,701.0,42.34710743801653,0.512396694214876
30,barrosa,male-castrated,701.0,42.85950413223141,0.512396694214876
31,barrosa,male-castrated,701.0,43.37190082644628,0.512396694214876
32,barrosa,male-castrated,701.0,43.88429752066116,0.512396694214876
33,barrosa,male-castrated,701.0,44.396694214876035,0.512396694214876
34,barrosa,male-castrated,701.0,44.90909090909091,0.512396694214876
35,barrosa,male-castrated,701.0,45.421487603305785,0.512396694214876
36,barrosa,male-castrated,701.0,45.93388429752066,0.512396694214876
37,barrosa,male-castrated,701.0,46.446280991735534,0.512396694214876
38,barrosa,male-castrated,701.0,46.95867768595041,0.512396694214876
39,barrosa,male-castrated,701.0,47.47107438016529,0.512396694214876
40,barrosa,male-castrated,701.0,47.98347107438016,0.512396694214876
41,barrosa,male-castrated,701.0,48.49586776859504,0.512396694214876
42,barrosa,male-castrated,701.0,49.00826446280992,0.512396694214876
43,barrosa,male-castrated,701.0,49.52066115702479,0.512396694214876
44,barrosa,male-castrated,701.0,50.03305785123967,0.512396694214876
45,barrosa,male-castrated,701.0,50.54545454545455,0.512396694214876
